tab,comptable,operation,valeur,code,libelle,bank,date,year,month,group,var,value
5,06/02/2012,06/02/2012,06/02/2012,240,CHEQUE 0438701 A016-6625-00111,cmcc,2012-02-06,2012,2,chq-vir,debit,-2262.5
5,08/02/2012,08/02/2012,08/02/2012,6,2X LOYERS,cmcc,2012-02-08,2012,2,loyer,credit,610
5,08/02/2012,08/02/2012,08/02/2012,305,VIR RSI ALSACE,cmcc,2012-02-08,2012,2,pension,credit,109.85
5,08/02/2012,08/02/2012,08/02/2012,305,VIR RSI ALSACE,cmcc,2012-02-08,2012,2,pension,credit,365.15
5,13/02/2012,13/02/2012,13/02/2012,305,VIR M OU MME FRANCK MEHL,cmcc,2012-02-13,2012,2,loyer,credit,425
5,21/02/2012,21/02/2012,21/02/2012,240,CHEQUE 0438703 T051-8517-00111,cmcc,2012-02-21,2012,2,chq-vir,debit,-86.57
5,24/02/2012,24/02/2012,24/02/2012,240,CHEQUE 0438705 A022-7114-00111,cmcc,2012-02-24,2012,2,chq-vir,debit,-4600.4
5,29/02/2012,29/02/2012,01/03/2012,250,REM CHQ REF01896R05,cmcc,2012-02-29,2012,2,chq-vir,credit,134.36
5,29/02/2012,29/02/2012,29/02/2012,305,VIR CAISSE REGIONALE D ASSUR,cmcc,2012-02-29,2012,2,secu,credit,604.67
5,01/03/2012,01/03/2012,01/03/2012,350,VIR MME PIASNY LOYER,cmcc,2012-03-01,2012,3,loyer,credit,430
5,05/03/2012,05/03/2012,05/03/2012,240,CHEQUE 0438702 T074-3966-00111,cmcc,2012-03-05,2012,3,chq-vir,debit,-500
5,05/03/2012,03/03/2012,03/03/2012,350,VIR M NICOLAS ROHR,cmcc,2012-03-05,2012,3,loyer,credit,320
5,06/03/2012,06/03/2012,06/03/2012,350,VIR MLE ELODIE SALZEMANN,cmcc,2012-03-06,2012,3,libe,debit,-100
5,06/03/2012,06/03/2012,06/03/2012,350,VIR M TIMOTHEE SALZEMANN,cmcc,2012-03-06,2012,3,libe,debit,-150
5,08/03/2012,08/03/2012,08/03/2012,305,VIR RSI ALSACE,cmcc,2012-03-08,2012,3,pension,credit,109.85
5,08/03/2012,08/03/2012,08/03/2012,305,VIR RSI ALSACE,cmcc,2012-03-08,2012,3,pension,credit,365.15
5,13/03/2012,13/03/2012,13/03/2012,305,VIR M OU MME FRANCK MEHL,cmcc,2012-03-13,2012,3,loyer,credit,425
5,14/03/2012,14/03/2012,15/03/2012,250,REM CHQ REF01896R05,cmcc,2012-03-14,2012,3,chq-vir,credit,184.18
5,20/03/2012,20/03/2012,20/03/2012,305,VIR LA PREV. ARTISANALE (RC),cmcc,2012-03-20,2012,3,secu,credit,22.66
4,27/03/2012,27/03/2012,27/03/2012,240,CHEQUE 0438707 A048-4606-00111,cmcc,2012-03-27,2012,3,chq-vir,debit,-500
4,28/03/2012,28/03/2012,28/03/2012,240,CHEQUE 0438708 T075-2271-00111,cmcc,2012-03-28,2012,3,chq-vir,debit,-221.03
4,28/03/2012,28/03/2012,28/03/2012,6,VIR M OU MME BOB WABEALO,cmcc,2012-03-28,2012,3,loyer,credit,610
4,02/04/2012,02/04/2012,02/04/2012,305,VIR CAISSE REGIONALE D ASSUR,cmcc,2012-04-02,2012,4,secu,credit,604.67
4,02/04/2012,01/04/2012,01/04/2012,350,VIR MME PIASNY LOYER,cmcc,2012-04-02,2012,4,loyer,credit,430
4,02/04/2012,02/04/2012,02/04/2012,305,VIR REUNICA,cmcc,2012-04-02,2012,4,pension,credit,77.17
4,03/04/2012,03/04/2012,03/04/2012,350,VIR M NICOLAS ROHR,cmcc,2012-04-03,2012,4,loyer,credit,320
4,04/04/2012,02/04/2012,02/04/2012,244,F ENVOI 1 CHEQUIER(S),cmcc,2012-04-04,2012,4,charges,debit,-0.67
4,06/04/2012,06/04/2012,06/04/2012,350,VIR MLE ELODIE SALZEMANN,cmcc,2012-04-06,2012,4,libe,debit,-100
4,06/04/2012,06/04/2012,06/04/2012,350,VIR M TIMOTHEE SALZEMANN,cmcc,2012-04-06,2012,4,libe,debit,-150
4,10/04/2012,10/04/2012,10/04/2012,240,CHEQUE 0438704 A012-8567-00599,cmcc,2012-04-10,2012,4,chq-vir,debit,-60
4,10/04/2012,10/04/2012,10/04/2012,305,VIR RSI ALSACE,cmcc,2012-04-10,2012,4,pension,credit,109.85
4,10/04/2012,10/04/2012,10/04/2012,305,VIR RSI ALSACE,cmcc,2012-04-10,2012,4,pension,credit,365.15
4,11/04/2012,11/04/2012,11/04/2012,240,CHEQUE 0438709 T053-9167-00111,cmcc,2012-04-11,2012,4,chq-vir,debit,-250
4,11/04/2012,11/04/2012,11/04/2012,305,VIR M OU MME FRANCK MEHL,cmcc,2012-04-11,2012,4,loyer,credit,425
4,16/04/2012,15/04/2012,15/04/2012,350,VIR MISSION LEPRE,cmcc,2012-04-16,2012,4,libe,debit,-100
4,20/04/2012,20/04/2012,20/04/2012,871,CORAIL 3000 IB4147419,cmcc,2012-04-20,2012,4,charges,debit,-410.91
4,27/04/2012,27/04/2012,27/04/2012,305,VIR CAISSE D ASSURANCE RETRA,cmcc,2012-04-27,2012,4,pension,credit,630.1
4,02/05/2012,02/05/2012,02/05/2012,240,CHEQUE 0438710 T067-7727-00111,cmcc,2012-05-02,2012,5,chq-vir,debit,-491.89
4,02/05/2012,01/05/2012,01/05/2012,350,VIR MME PIASNY LOYER,cmcc,2012-05-02,2012,5,loyer,credit,430
4,03/05/2012,03/05/2012,03/05/2012,210,RET 030512 REF01896B00,cmcc,2012-05-03,2012,5,cash,debit,-400
4,03/05/2012,03/05/2012,03/05/2012,210,ANNU RET REF01896B00,cmcc,2012-05-03,2012,5,charges,credit,155
4,03/05/2012,03/05/2012,03/05/2012,210,RET 030512 REF01896B00,cmcc,2012-05-03,2012,5,cash,debit,-155
4,03/05/2012,03/05/2012,04/05/2012,250,REM CHQ REF01896R05,cmcc,2012-05-03,2012,5,chq-vir,credit,45
4,03/05/2012,03/05/2012,03/05/2012,365,TIP IMPOT CEL,cmcc,2012-05-03,2012,5,taxe,debit,-775
4,03/05/2012,03/05/2012,03/05/2012,350,VIR M NICOLAS ROHR,cmcc,2012-05-03,2012,5,loyer,credit,320
4,04/05/2012,04/05/2012,04/05/2012,6,LOYER + 150 EAU WABEALO SARA,cmcc,2012-05-04,2012,5,loyer,credit,455
4,07/05/2012,07/05/2012,07/05/2012,365,TIP LDEF ALSACE FRANCHE COMT,cmcc,2012-05-07,2012,5,charges,debit,-538.05
4,07/05/2012,06/05/2012,06/05/2012,350,VIR MLE ELODIE SALZEMANN,cmcc,2012-05-07,2012,5,libe,debit,-100
4,07/05/2012,06/05/2012,06/05/2012,350,VIR M TIMOTHEE SALZEMANN,cmcc,2012-05-07,2012,5,libe,debit,-150
4,09/05/2012,09/05/2012,09/05/2012,305,VIR RSI ALSACE,cmcc,2012-05-09,2012,5,pension,credit,372.46
4,09/05/2012,09/05/2012,09/05/2012,305,VIR RSI ALSACE,cmcc,2012-05-09,2012,5,pension,credit,112.17
4,11/05/2012,11/05/2012,11/05/2012,240,CHEQUE 0438706 A091-8231-00111,cmcc,2012-05-11,2012,5,chq-vir,debit,-30
4,11/05/2012,11/05/2012,11/05/2012,305,VIR M OU MME FRANCK MEHL,cmcc,2012-05-11,2012,5,loyer,credit,425
4,14/05/2012,14/05/2012,14/05/2012,305,VIR CPAM DU BAS-RHIN - STRAS,cmcc,2012-05-14,2012,5,secu,credit,3.5
4,22/05/2012,22/05/2012,22/05/2012,240,CHEQUE 0513861 A096-7051-00111,cmcc,2012-05-22,2012,5,chq-vir,debit,-120.25
4,24/05/2012,24/05/2012,24/05/2012,240,CHEQUE 0513862 S099-3502-00111,cmcc,2012-05-24,2012,5,chq-vir,debit,-165.67
4,25/05/2012,25/05/2012,25/05/2012,210,RET 250512 REF01896B00,cmcc,2012-05-25,2012,5,cash,debit,-500
4,25/05/2012,25/05/2012,25/05/2012,2,VIR MLE MICHELE FISCHER,cmcc,2012-05-25,2012,5,libe,debit,-650
4,30/05/2012,30/05/2012,30/05/2012,240,CHEQUE 0513863 S019-5909-00111,cmcc,2012-05-30,2012,5,chq-vir,debit,-30
4,31/05/2012,31/05/2012,31/05/2012,305,VIR CAISSE D ASSURANCE RETRA,cmcc,2012-05-31,2012,5,pension,credit,617.36
4,04/06/2012,04/06/2012,04/06/2012,305,VIR LA PREV. ARTISANALE (RC),cmcc,2012-06-04,2012,6,secu,credit,30
4,04/06/2012,03/06/2012,03/06/2012,350,VIR M NICOLAS ROHR,cmcc,2012-06-04,2012,6,loyer,credit,320
4,05/06/2012,05/06/2012,05/06/2012,6,LOYER + EAU WABEALO,cmcc,2012-06-05,2012,6,loyer,credit,405
4,06/06/2012,06/06/2012,06/06/2012,240,CHEQUE 0513864 T038-6617-00111,cmcc,2012-06-06,2012,6,chq-vir,debit,-160
4,06/06/2012,06/06/2012,06/06/2012,350,VIR MLE ELODIE SALZEMANN,cmcc,2012-06-06,2012,6,libe,debit,-100
4,06/06/2012,06/06/2012,06/06/2012,350,VIR M TIMOTHEE SALZEMANN,cmcc,2012-06-06,2012,6,libe,debit,-150
3,08/06/2012,08/06/2012,08/06/2012,305,VIR RSI ALSACE,cmcc,2012-06-08,2012,6,pension,credit,112.17
3,08/06/2012,08/06/2012,08/06/2012,305,VIR RSI ALSACE,cmcc,2012-06-08,2012,6,pension,credit,372.46
3,12/06/2012,12/06/2012,12/06/2012,305,VIR M OU MME FRANCK MEHL,cmcc,2012-06-12,2012,6,loyer,credit,425
3,12/06/2012,12/06/2012,13/06/2012,250,REM CHQ REF01896R05,cmcc,2012-06-12,2012,6,chq-vir,credit,42
3,21/06/2012,21/06/2012,21/06/2012,240,CHEQUE 0513865 T044-8237-00111,cmcc,2012-06-21,2012,6,chq-vir,debit,-218.1
3,21/06/2012,20/06/2012,01/06/2012,541,INTERETS PARTS SOCIALES 2011,cmcc,2012-06-21,2012,6,charges,credit,151.39
3,29/06/2012,29/06/2012,29/06/2012,240,CHEQUE 0513870 A092-3561-00111,cmcc,2012-06-29,2012,6,chq-vir,debit,-438.1
3,02/07/2012,02/07/2012,02/07/2012,240,CHEQUE 0513866 T005-4619-00111,cmcc,2012-07-02,2012,7,chq-vir,debit,-292.59
3,02/07/2012,02/07/2012,02/07/2012,305,VIR CAISSE D ASSURANCE RETRA,cmcc,2012-07-02,2012,7,pension,credit,617.36
3,02/07/2012,01/07/2012,01/07/2012,350,VIR MME PIASNY LOYER,cmcc,2012-07-02,2012,7,loyer,credit,430
3,02/07/2012,02/07/2012,02/07/2012,305,VIR REUNICA,cmcc,2012-07-02,2012,7,pension,credit,77.17
3,03/07/2012,03/07/2012,03/07/2012,240,CHEQUE 0513871 A084-8191-00111,cmcc,2012-07-03,2012,7,chq-vir,debit,-1650
3,03/07/2012,03/07/2012,03/07/2012,350,VIR M NICOLAS ROHR,cmcc,2012-07-03,2012,7,loyer,credit,320
3,04/07/2012,01/07/2012,01/07/2012,385,F COTIS CARTE CIRRUS,cmcc,2012-07-04,2012,7,charges,debit,-20.17
3,06/07/2012,06/07/2012,06/07/2012,350,VIR MLE ELODIE SALZEMANN,cmcc,2012-07-06,2012,7,libe,debit,-100
3,06/07/2012,06/07/2012,06/07/2012,350,VIR M TIMOTHEE SALZEMANN,cmcc,2012-07-06,2012,7,libe,debit,-150
3,09/07/2012,09/07/2012,09/07/2012,240,CHEQUE 0513869 T017-8231-00111,cmcc,2012-07-09,2012,7,chq-vir,debit,-79
3,09/07/2012,09/07/2012,09/07/2012,240,CHEQUE 0513867 T078-8118-00111,cmcc,2012-07-09,2012,7,chq-vir,debit,-100
3,09/07/2012,09/07/2012,09/07/2012,305,VIR RSI ALSACE,cmcc,2012-07-09,2012,7,pension,credit,112.17
3,09/07/2012,09/07/2012,09/07/2012,305,VIR RSI ALSACE,cmcc,2012-07-09,2012,7,pension,credit,372.46
3,09/07/2012,07/07/2012,07/07/2012,6,LOYER,cmcc,2012-07-09,2012,7,loyer,credit,305
3,11/07/2012,11/07/2012,11/07/2012,210,RET 110712 REF01896B00,cmcc,2012-07-11,2012,7,cash,debit,-250
3,11/07/2012,11/07/2012,11/07/2012,305,VIR CPAM DU BAS-RHIN - STRAS,cmcc,2012-07-11,2012,7,secu,credit,47.5
3,11/07/2012,11/07/2012,11/07/2012,305,VIR M OU MME FRANCK MEHL,cmcc,2012-07-11,2012,7,loyer,credit,425
3,16/07/2012,16/07/2012,17/07/2012,6,VIR MME PIASNY LOYER,cmcc,2012-07-16,2012,7,loyer,credit,430
3,17/07/2012,17/07/2012,17/07/2012,240,CHEQUE 0513868 I069-3520-00111,cmcc,2012-07-17,2012,7,chq-vir,debit,-100
3,20/07/2012,20/07/2012,20/07/2012,871,AURORE 2000 BS3960557,cmcc,2012-07-20,2012,7,charges,debit,-395.46
3,20/07/2012,20/07/2012,20/07/2012,305,VIR LA PREV. ARTISANALE (RC),cmcc,2012-07-20,2012,7,secu,credit,18.36
3,31/07/2012,31/07/2012,31/07/2012,305,VIR CAISSE D ASSURANCE RETRA,cmcc,2012-07-31,2012,7,pension,credit,617.36
3,01/08/2012,01/08/2012,01/08/2012,350,VIR MME PIASNY LOYER,cmcc,2012-08-01,2012,8,loyer,credit,430
3,03/08/2012,03/08/2012,03/08/2012,350,VIR M NICOLAS ROHR,cmcc,2012-08-03,2012,8,loyer,credit,320
3,06/08/2012,06/08/2012,06/08/2012,350,VIR MLE ELODIE SALZEMANN,cmcc,2012-08-06,2012,8,libe,debit,-100
3,06/08/2012,06/08/2012,06/08/2012,350,VIR M TIMOTHEE SALZEMANN,cmcc,2012-08-06,2012,8,libe,debit,-150
3,08/08/2012,08/08/2012,08/08/2012,6,LOYER WABEALO,cmcc,2012-08-08,2012,8,loyer,credit,305
3,08/08/2012,08/08/2012,08/08/2012,305,VIR RSI ALSACE,cmcc,2012-08-08,2012,8,pension,credit,372.46
3,08/08/2012,08/08/2012,08/08/2012,305,VIR RSI ALSACE,cmcc,2012-08-08,2012,8,pension,credit,112.17
3,10/08/2012,10/08/2012,10/08/2012,240,CHEQUE 0513872 T023-1822-00111,cmcc,2012-08-10,2012,8,chq-vir,debit,-96.96
3,13/08/2012,13/08/2012,13/08/2012,240,CHEQUE 0513873 T085-8518-00111,cmcc,2012-08-13,2012,8,chq-vir,debit,-239.58
3,13/08/2012,13/08/2012,13/08/2012,305,VIR M OU MME FRANCK MEHL,cmcc,2012-08-13,2012,8,loyer,credit,425
3,14/08/2012,14/08/2012,14/08/2012,305,VIR LA PREV. ARTISANALE (RC),cmcc,2012-08-14,2012,8,secu,credit,4.1
3,21/08/2012,21/08/2012,21/08/2012,240,CHEQUE 0438711 T082-0291-00111,cmcc,2012-08-21,2012,8,chq-vir,debit,-68
3,22/08/2012,22/08/2012,22/08/2012,240,CHEQUE 0438712 A047-0663-00111,cmcc,2012-08-22,2012,8,chq-vir,debit,-491.1
3,31/08/2012,31/08/2012,31/08/2012,305,VIR CAISSE D ASSURANCE RETRA,cmcc,2012-08-31,2012,8,pension,credit,617.36
3,03/09/2012,01/09/2012,01/09/2012,350,VIR MME PIASNY LOYER,cmcc,2012-09-03,2012,9,loyer,credit,430
3,06/09/2012,06/09/2012,06/09/2012,210,RET 060912 REF01896B00,cmcc,2012-09-06,2012,9,cash,debit,-400
3,06/09/2012,06/09/2012,06/09/2012,350,VIR MLE ELODIE SALZEMANN,cmcc,2012-09-06,2012,9,libe,debit,-100
3,06/09/2012,06/09/2012,06/09/2012,350,VIR M TIMOTHEE SALZEMANN,cmcc,2012-09-06,2012,9,libe,debit,-150
2,10/09/2012,10/09/2012,10/09/2012,240,CHEQUE 0513874 T047-3252-00111,cmcc,2012-09-10,2012,9,chq-vir,debit,-146.66
2,10/09/2012,10/09/2012,10/09/2012,305,VIR RSI ALSACE,cmcc,2012-09-10,2012,9,pension,credit,112.17
2,10/09/2012,10/09/2012,10/09/2012,305,VIR RSI ALSACE,cmcc,2012-09-10,2012,9,pension,credit,372.46
2,11/09/2012,11/09/2012,11/09/2012,240,CHEQUE 0438713 A081-8082-00111,cmcc,2012-09-11,2012,9,chq-vir,debit,-100
2,11/09/2012,11/09/2012,11/09/2012,305,VIR M OU MME FRANCK MEHL,cmcc,2012-09-11,2012,9,loyer,credit,425
2,11/09/2012,11/09/2012,12/09/2012,250,REM CHQ REF01896R05,cmcc,2012-09-11,2012,9,chq-vir,credit,310
2,21/09/2012,21/09/2012,21/09/2012,6,VIR M OU MME BOB WABEALO,cmcc,2012-09-21,2012,9,loyer,credit,305
2,25/09/2012,25/09/2012,25/09/2012,365,TIP IMPOT CEL,cmcc,2012-09-25,2012,9,taxe,debit,-4930
2,27/09/2012,27/09/2012,27/09/2012,365,TIP IMPOT CEL,cmcc,2012-09-27,2012,9,taxe,debit,-20
2,27/09/2012,27/09/2012,27/09/2012,365,TIP IMPOT CEL,cmcc,2012-09-27,2012,9,taxe,debit,-529
2,27/09/2012,27/09/2012,27/09/2012,365,TIP IMPOT CEL,cmcc,2012-09-27,2012,9,taxe,debit,-474
2,27/09/2012,27/09/2012,27/09/2012,365,TIP IMPOT CEL,cmcc,2012-09-27,2012,9,taxe,debit,-1056
2,01/10/2012,01/10/2012,01/10/2012,305,VIR MME ELISABETH PIASNY,cmcc,2012-10-01,2012,10,loyer,credit,430
2,01/10/2012,01/10/2012,01/10/2012,305,VIR CAISSE D ASSURANCE RETRA,cmcc,2012-10-01,2012,10,pension,credit,617.36
2,01/10/2012,01/10/2012,01/10/2012,350,VIR MME PIASNY LOYER,cmcc,2012-10-01,2012,10,loyer,credit,430
2,01/10/2012,01/10/2012,01/10/2012,305,VIR REUNICA,cmcc,2012-10-01,2012,10,pension,credit,77.17
2,02/10/2012,02/10/2012,02/10/2012,210,RET 021012 REF01896B00,cmcc,2012-10-02,2012,10,cash,debit,-400
2,08/10/2012,08/10/2012,08/10/2012,305,LOYER OCTOBRE BARTHEL HARTMA,cmcc,2012-10-08,2012,10,loyer,credit,172.5
2,08/10/2012,08/10/2012,08/10/2012,305,VIR RSI ALSACE,cmcc,2012-10-08,2012,10,pension,credit,372.46
2,08/10/2012,08/10/2012,08/10/2012,305,VIR RSI ALSACE,cmcc,2012-10-08,2012,10,pension,credit,112.17
2,08/10/2012,06/10/2012,06/10/2012,350,VIR M TIMOTHEE SALZEMANN,cmcc,2012-10-08,2012,10,libe,debit,-150
2,10/10/2012,10/10/2012,10/10/2012,305,VIR ZANETTE,cmcc,2012-10-10,2012,10,exception,credit,73840
2,11/10/2012,11/10/2012,11/10/2012,305,VIR M OU MME FRANCK MEHL,cmcc,2012-10-11,2012,10,loyer,credit,425
2,17/10/2012,17/10/2012,18/10/2012,250,REM CHQ REF01896R05,cmcc,2012-10-17,2012,10,chq-vir,credit,150.17
2,19/10/2012,19/10/2012,19/10/2012,240,CHEQUE 0513879 T042-3723-00111,cmcc,2012-10-19,2012,10,chq-vir,debit,-811
2,22/10/2012,22/10/2012,20/10/2012,871,AURORE 2000 BS3960554,cmcc,2012-10-22,2012,10,charges,debit,-211.86
2,22/10/2012,22/10/2012,22/10/2012,240,CHEQUE 0513876 T001-0546-00111,cmcc,2012-10-22,2012,10,chq-vir,debit,-681.16
2,24/10/2012,24/10/2012,24/10/2012,6,VIR M OU MME BOB WABEALO,cmcc,2012-10-24,2012,10,loyer,credit,305
2,25/10/2012,25/10/2012,25/10/2012,240,CHEQUE 0513880 T030-1154-00111,cmcc,2012-10-25,2012,10,chq-vir,debit,-47
2,29/10/2012,29/10/2012,29/10/2012,240,CHEQUE 0513877 T053-2631-00111,cmcc,2012-10-29,2012,10,chq-vir,debit,-100
2,29/10/2012,29/10/2012,29/10/2012,240,CHEQUE 0513878 A072-3185-00111,cmcc,2012-10-29,2012,10,chq-vir,debit,-100
2,31/10/2012,31/10/2012,31/10/2012,305,VIR MME ELISABETH PIASNY,cmcc,2012-10-31,2012,10,loyer,credit,430
2,31/10/2012,31/10/2012,31/10/2012,365,TIP IMPOT CEL,cmcc,2012-10-31,2012,10,taxe,debit,-3670
2,31/10/2012,31/10/2012,31/10/2012,305,VIR CAISSE D ASSURANCE RETRA,cmcc,2012-10-31,2012,10,pension,credit,617.36
2,01/11/2012,01/11/2012,01/11/2012,350,VIR MME PIASNY LOYER,cmcc,2012-11-01,2012,11,loyer,credit,430
2,05/11/2012,05/11/2012,05/11/2012,350,LOYER BARTHEL HARTMANN,cmcc,2012-11-05,2012,11,loyer,credit,345
2,06/11/2012,06/11/2012,06/11/2012,6,LOYER WABEALO,cmcc,2012-11-06,2012,11,loyer,credit,305
2,06/11/2012,06/11/2012,06/11/2012,350,VIR M TIMOTHEE SALZEMANN,cmcc,2012-11-06,2012,11,libe,debit,-150
2,08/11/2012,08/11/2012,08/11/2012,305,VIR RSI ALSACE,cmcc,2012-11-08,2012,11,pension,credit,112.17
2,08/11/2012,08/11/2012,08/11/2012,305,VIR RSI ALSACE,cmcc,2012-11-08,2012,11,pension,credit,372.46
2,09/11/2012,09/11/2012,09/11/2012,240,CHEQUE 0513881 T048-2408-00111,cmcc,2012-11-09,2012,11,chq-vir,debit,-61.36
2,09/11/2012,09/11/2012,16/11/2012,2,VIR M THEO WABEALO,cmcc,2012-11-09,2012,11,libe,debit,-35
2,09/11/2012,09/11/2012,16/11/2012,2,VIR M THIBAUT WABEALO,cmcc,2012-11-09,2012,11,libe,debit,-35
2,09/11/2012,09/11/2012,16/11/2012,2,VIR M HUGO WABEALO,cmcc,2012-11-09,2012,11,libe,debit,-35
2,09/11/2012,09/11/2012,09/11/2012,210,RET 091112 REF01896B00,cmcc,2012-11-09,2012,11,cash,debit,-300
2,09/11/2012,09/11/2012,09/11/2012,305,VIR CPAM DU BAS-RHIN - STRAS,cmcc,2012-11-09,2012,11,secu,credit,40
2,13/11/2012,13/11/2012,13/11/2012,305,VIR M OU MME FRANCK MEHL,cmcc,2012-11-13,2012,11,loyer,credit,425
1,15/11/2012,15/11/2012,15/11/2012,240,CHEQUE 0513882 T044-9616-00111,cmcc,2012-11-15,2012,11,chq-vir,debit,-595.76
1,21/11/2012,21/11/2012,22/11/2012,250,REM CHQ REF01896R06,cmcc,2012-11-21,2012,11,chq-vir,credit,153.01
1,23/11/2012,23/11/2012,23/11/2012,305,VIR CPAM DU BAS-RHIN - STRAS,cmcc,2012-11-23,2012,11,secu,credit,92
1,23/11/2012,23/11/2012,23/11/2012,305,VIR LA PREV. ARTISANALE (RC),cmcc,2012-11-23,2012,11,secu,credit,8.34
1,28/11/2012,28/11/2012,28/11/2012,365,TIP LDEF ALSACE FRANCHE COMT,cmcc,2012-11-28,2012,11,charges,debit,-451
1,30/11/2012,30/11/2012,30/11/2012,240,CHEQUE 0513886 T078-7718-00111,cmcc,2012-11-30,2012,11,chq-vir,debit,-15
1,30/11/2012,30/11/2012,30/11/2012,305,VIR MME ELISABETH PIASNY,cmcc,2012-11-30,2012,11,loyer,credit,430
1,30/11/2012,30/11/2012,30/11/2012,305,VIR CAISSE D ASSURANCE RETRA,cmcc,2012-11-30,2012,11,pension,credit,617.36
1,03/12/2012,03/12/2012,03/12/2012,240,CHEQUE 0513885 T034-8905-00111,cmcc,2012-12-03,2012,12,chq-vir,debit,-600.81
1,04/12/2012,04/12/2012,04/12/2012,305,VIR LA PREV. ARTISANALE (RC),cmcc,2012-12-04,2012,12,secu,credit,8.2
1,05/12/2012,05/12/2012,05/12/2012,350,LOYER BARTHEL HARTMANN,cmcc,2012-12-05,2012,12,loyer,credit,345
1,06/12/2012,06/12/2012,06/12/2012,240,CHEQUE 0513883 S055-0851-00111,cmcc,2012-12-06,2012,12,chq-vir,debit,-30
1,06/12/2012,04/12/2012,04/12/2012,244,F ENVOI 1 CHEQUIER(S),cmcc,2012-12-06,2012,12,charges,debit,-0.69
